subject,session,date,condition,trial_num,ll_side,choice,last_choice
Roberta,2,2018-10-29,Low cost same,8,left,0,0
Roberta,3,2018-07-18,High cost,3,left,0,NA
Roberta,3,2018-07-18,High cost,4,right,0,0
Roberta,3,2018-07-18,High cost,5,left,0,0
Roberta,3,2018-07-18,High cost,6,right,0,0
Roberta,3,2018-07-18,High cost,7,left,0,0
Roberta,3,2018-07-18,High cost,8,right,0,0
Roberta,3,2018-09-12,Low cost different,3,right,1,NA
Roberta,3,2018-09-12,Low cost different,4,left,0,1
Roberta,3,2018-09-12,Low cost different,5,right,1,0
Roberta,3,2018-09-12,Low cost different,6,left,1,1
Roberta,3,2018-09-12,Low cost different,7,right,0,1
Roberta,3,2018-09-12,Low cost different,8,left,0,0
Roberta,3,2018-10-31,Low cost same,3,left,0,NA
Roberta,3,2018-10-31,Low cost same,4,left,0,0
Roberta,3,2018-10-31,Low cost same,5,right,0,0
Roberta,3,2018-10-31,Low cost same,6,right,0,0
Roberta,3,2018-10-31,Low cost same,7,right,0,0
Roberta,3,2018-10-31,Low cost same,8,left,0,0
Roberta,4,2018-07-19,High cost,3,right,0,NA
Roberta,4,2018-07-19,High cost,4,right,0,0
Roberta,4,2018-07-19,High cost,5,left,0,0
Roberta,4,2018-07-19,High cost,6,left,0,0
Roberta,4,2018-07-19,High cost,7,right,0,0
Roberta,4,2018-07-19,High cost,8,left,0,0
Roberta,4,2018-09-13,Low cost different,3,right,1,NA
Roberta,4,2018-09-13,Low cost different,4,right,0,1
Roberta,4,2018-09-13,Low cost different,5,left,1,0
Roberta,4,2018-09-13,Low cost different,6,left,0,1
Roberta,4,2018-09-13,Low cost different,7,left,0,0
Roberta,4,2018-09-13,Low cost different,8,right,1,0
Roberta,4,2018-11-05,Low cost same,3,right,1,NA
Roberta,4,2018-11-05,Low cost same,4,right,0,1
Roberta,4,2018-11-05,Low cost same,5,left,1,0
Roberta,4,2018-11-05,Low cost same,6,left,0,1
Roberta,4,2018-11-05,Low cost same,7,left,0,0
Roberta,4,2018-11-05,Low cost same,8,right,1,0
Roberta,5,2018-07-20,High cost,3,right,0,NA
Roberta,5,2018-07-20,High cost,4,left,0,0
Roberta,5,2018-07-20,High cost,5,right,1,0
Roberta,5,2018-07-20,High cost,6,left,0,1
Roberta,5,2018-07-20,High cost,7,left,0,0
Roberta,5,2018-07-20,High cost,8,right,0,0
Roberta,5,2018-09-14,Low cost different,3,left,1,NA
Roberta,5,2018-09-14,Low cost different,4,left,0,1
Roberta,5,2018-09-14,Low cost different,5,right,1,0
Roberta,5,2018-09-14,Low cost different,6,right,1,1
Roberta,5,2018-09-14,Low cost different,7,left,1,1
